Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka
Polska,2009,754.0,210999.0,159712.0,10817.0,1154.0,2786061.0,16252.0,38167329.0,183040.0
Polska,2010,795.0,210402.0,162522.0,11297.0,1161.0,2776999.0,16608.0,38529866.0,181077.0
Polska,2011,814.0,216462.0,172304.0,11713.0,1185.0,2691933.0,19151.0,38538447.0,180606.0
Polska,2012,913.0,237862.0,183906.0,11999.0,1220.0,2594317.0,19412.0,38533299.0,188820.0
Polska,2013,966.0,227499.0,187327.0,12221.0,1284.0,2709649.0,19529.0,38495659.0,187763.0
Polska,2014,979.0,232309.0,201338.0,12438.0,1309.0,2567778.0,20052.0,38478602.0,188116.0
Polska,2015,956.0,233134.0,205650.0,12740.0,1299.0,2441082.0,20412.0,38437239.0,186994.0
Polska,2016,957.0,231897.0,214196.0,13104.0,1316.0,2210221.0,21299.0,38432992.0,186607.0
Polska,2017,951.0,242102.0,218083.0,13338.0,1284.0,2010986.0,21665.0,38433558.0,185263.0
Polska,2018,949.0,247745.0,221752.0,12899.0,1243.0,1822553.0,21881.0,38411148.0,181732.0
Polska,2019,890.0,249730.0,225738.0,12286.0,1190.0,1681788.0,21839.0,38382576.0,166828.0
Polska,2020,898.0,250535.0,228333.0,12056.0,1152.0,1568206.0,21496.0,38088564.0,167567.0
Polska,2021,899.0,300399.0,154291.0,11866.0,1147.0,1403024.0,21968.0,37907704.0,168447.0
Polska,2022,896.0,222401.0,144708.0,11657.0,1119.0,1289858.0,22601.0,37766327.0,164155.0
Polska,2023,894.0,236105.0,174428.0,11473.0,1091.0,1257217.0,23460.0,37636508.0,161207.0
Polska,2024,888.0,240962.0,178984.0,11229.0,1067.0,1183906.0,24225.0,37489087.0,159878.0
Dolnośląskie,2009,60.0,15879.0,11846.0,922.0,59.0,192644.0,1181.0,2876627.0,13907.0
Dolnośląskie,2010,67.0,15908.0,12115.0,943.0,66.0,189126.0,1178.0,2917242.0,14126.0
Dolnośląskie,2011,72.0,16333.0,12889.0,969.0,69.0,184161.0,1343.0,2916577.0,14111.0
Dolnośląskie,2012,80.0,18723.0,13845.0,970.0,72.0,170408.0,1369.0,2914362.0,14816.0
Dolnośląskie,2013,80.0,17693.0,14132.0,993.0,75.0,176958.0,1346.0,2909997.0,15073.0
Dolnośląskie,2014,83.0,17386.0,14992.0,1006.0,74.0,165936.0,1337.0,2908457.0,14907.0
Dolnośląskie,2015,79.0,16900.0,14946.0,1012.0,68.0,153612.0,1350.0,2904207.0,14841.0
Dolnośląskie,2016,82.0,17010.0,15967.0,1063.0,72.0,137867.0,1515.0,2903710.0,14899.0
Dolnośląskie,2017,81.0,17491.0,15264.0,1077.0,63.0,125046.0,1542.0,2902547.0,14637.0
Dolnośląskie,2018,82.0,17714.0,15502.0,1037.0,66.0,111617.0,1602.0,2901225.0,14659.0
Dolnośląskie,2019,84.0,18060.0,16046.0,992.0,62.0,102818.0,1611.0,2900163.0,13152.0
Dolnośląskie,2020,86.0,18311.0,16726.0,947.0,56.0,95667.0,1538.0,2908378.0,13294.0
Dolnośląskie,2021,84.0,22399.0,11920.0,925.0,57.0,88183.0,1577.0,2897737.0,13406.0
Dolnośląskie,2022,82.0,16608.0,11479.0,902.0,57.0,81613.0,1608.0,2888033.0,13360.0
Dolnośląskie,2023,78.0,17420.0,13657.0,885.0,53.0,79064.0,1666.0,2879271.0,13039.0
Dolnośląskie,2024,71.0,17630.0,14395.0,850.0,51.0,87538.0,1729.0,2868242.0,12355.0
Kujawsko-Pomorskie,2009,39.0,10604.0,7920.0,505.0,78.0,218534.0,663.0,2069083.0,9038.0
Kujawsko-Pomorskie,2010,38.0,10877.0,8094.0,527.0,76.0,219465.0,671.0,2098711.0,9018.0
Kujawsko-Pomorskie,2011,39.0,10696.0,8201.0,584.0,80.0,212604.0,751.0,2098370.0,9024.0
Kujawsko-Pomorskie,2012,42.0,11625.0,8920.0,583.0,78.0,213154.0,755.0,2096404.0,9507.0
Kujawsko-Pomorskie,2013,42.0,11465.0,9278.0,580.0,83.0,228396.0,758.0,2092564.0,9642.0
Kujawsko-Pomorskie,2014,42.0,11535.0,9571.0,586.0,88.0,213730.0,775.0,2089992.0,9891.0
Kujawsko-Pomorskie,2015,43.0,11941.0,10229.0,607.0,87.0,200645.0,818.0,2086210.0,9846.0
Kujawsko-Pomorskie,2016,40.0,11908.0,10833.0,630.0,84.0,179257.0,834.0,2083927.0,9860.0
Kujawsko-Pomorskie,2017,41.0,12507.0,11236.0,648.0,85.0,167527.0,862.0,2082944.0,9794.0
Kujawsko-Pomorskie,2018,41.0,12779.0,11201.0,628.0,84.0,148345.0,908.0,2077775.0,9591.0
Kujawsko-Pomorskie,2019,40.0,13062.0,11275.0,604.0,87.0,136211.0,920.0,2072373.0,8867.0
Kujawsko-Pomorskie,2020,40.0,12951.0,11283.0,594.0,87.0,128077.0,905.0,2031550.0,8593.0
Kujawsko-Pomorskie,2021,41.0,14724.0,6829.0,588.0,88.0,115259.0,920.0,2017720.0,8620.0
Kujawsko-Pomorskie,2022,41.0,11317.0,6546.0,574.0,87.0,100335.0,987.0,2006876.0,8399.0
Kujawsko-Pomorskie,2023,43.0,12046.0,7596.0,567.0,84.0,97376.0,1039.0,1996003.0,8358.0
Kujawsko-Pomorskie,2024,43.0,12536.0,7960.0,564.0,79.0,89407.0,1076.0,1984479.0,8377.0
Lubelskie,2009,38.0,12818.0,10159.0,787.0,55.0,158038.0,949.0,2157202.0,11477.0
Lubelskie,2010,42.0,13013.0,10743.0,793.0,51.0,155863.0,973.0,2178611.0,11290.0
Lubelskie,2011,45.0,12923.0,11363.0,798.0,57.0,150545.0,1086.0,2171857.0,11293.0
Lubelskie,2012,50.0,15000.0,12707.0,805.0,54.0,145661.0,1103.0,2165651.0,11836.0
Lubelskie,2013,58.0,14275.0,12254.0,810.0,51.0,149198.0,1113.0,2156150.0,11502.0
Lubelskie,2014,59.0,13973.0,12547.0,813.0,55.0,144013.0,1180.0,2147746.0,11367.0
Lubelskie,2015,57.0,14350.0,12618.0,819.0,56.0,136524.0,1186.0,2139726.0,11307.0
Lubelskie,2016,55.0,14123.0,12677.0,833.0,58.0,123154.0,1227.0,2133340.0,11256.0
Lubelskie,2017,53.0,14759.0,13058.0,831.0,58.0,106750.0,1288.0,2126317.0,11190.0
Lubelskie,2018,45.0,14754.0,12746.0,812.0,54.0,97747.0,1261.0,2117619.0,10988.0
