Nazwa,Rok,Szpitale,Pielegniarki_Polozne,Lekarze,Apteki,Punkty_apteczne,Osoby_swiadczenia_spoleczne,Placowki_ambulatoryjne,Ludnosc,Lozka,lekarze_na_10tys,pielegniarki_polozne_na_10tys,apteki_na_10tys,punkty_apteczne_na_10tys,apteki_i_punkty_na_10tys,szpitale_na_10tys,lozka_na_10tys,placowki_ambulatoryjne_na_10tys,mieszkancow_na_apteke,lekarze_na_10tys_norm,pielegniarki_polozne_na_10tys_norm,apteki_i_punkty_na_10tys_norm,szpitale_na_10tys_norm,lozka_na_10tys_norm,placowki_ambulatoryjne_na_10tys_norm,indeks_dostepnosci,miejsce_w_rankingu
Łódzkie,2009,56.0,14030.0,12438.0,890.0,78.0,188740.0,1275.0,2541832.0,13624.0,48.93,55.2,3.5,0.31,3.81,0.22,53.6,5.02,2855.99,0.43339382940108884,0.2160120845921451,0.7187500000000001,0.3500000000000001,0.8453016003282726,0.41935483870967727,0.497,1
Lubelskie,2009,38.0,12818.0,10159.0,787.0,55.0,158038.0,949.0,2157202.0,11477.0,47.09,59.42,3.65,0.25,3.9,0.18,53.2,4.4,2741.04,0.39999999999999997,0.29569486404833845,0.775,0.15,0.8288879770209275,0.2764976958525346,0.454,2
Podlaskie,2009,30.0,7032.0,5087.0,322.0,64.0,103616.0,605.0,1189731.0,6230.0,42.76,59.11,2.71,0.54,3.24,0.25,52.36,5.09,3694.82,0.32141560798548086,0.2898413897280967,0.3625000000000001,0.5000000000000001,0.7944193680755027,0.4354838709677419,0.451,3
Śląskie,2009,107.0,29285.0,21084.0,1176.0,99.0,268378.0,2419.0,4640725.0,26624.0,45.43,63.1,2.53,0.21,2.75,0.23,57.37,5.21,3946.19,0.36987295825771316,0.3651812688821753,0.056249999999999925,0.40000000000000013,1.0,0.4631336405529954,0.442,4
Dolnośląskie,2009,60.0,15879.0,11846.0,922.0,59.0,192644.0,1181.0,2876627.0,13907.0,41.18,55.2,3.21,0.21,3.41,0.21,48.34,4.11,3119.99,0.29274047186932844,0.2160120845921451,0.4687500000000001,0.3,0.6294624538366846,0.20967741935483875,0.353,5
Świętokrzyskie,2009,22.0,7307.0,4496.0,396.0,59.0,111231.0,475.0,1270120.0,6312.0,35.4,57.53,3.12,0.46,3.58,0.17,49.7,3.74,3207.37,0.18784029038112515,0.2600075528700907,0.5750000000000001,0.1000000000000001,0.685268773081658,0.12442396313364057,0.322,6
Małopolskie,2009,68.0,18480.0,14901.0,967.0,113.0,183616.0,1362.0,3298270.0,14387.0,45.18,56.03,2.93,0.34,3.27,0.21,43.62,4.13,3410.83,0.3653357531760435,0.23168429003021154,0.38125000000000003,0.3,0.4357816988100123,0.21428571428571422,0.321,7
Mazowieckie,2009,93.0,31527.0,29155.0,1357.0,139.0,302562.0,1940.0,5222167.0,24110.0,55.83,60.37,2.6,0.27,2.86,0.18,46.17,3.71,3848.32,0.5586206896551723,0.31363293051359514,0.12499999999999986,0.15,0.5404185473943375,0.11751152073732714,0.301,8
Warmińsko-Mazurskie,2009,37.0,7398.0,4548.0,353.0,42.0,177187.0,689.0,1427118.0,6056.0,31.87,51.84,2.47,0.29,2.77,0.26,42.44,4.83,4042.83,0.12377495462794917,0.1525679758308158,0.06874999999999994,0.5500000000000002,0.38736151005334424,0.37557603686635943,0.276,9
Lubuskie,2009,20.0,5176.0,3231.0,288.0,47.0,105169.0,456.0,1010047.0,4357.0,31.99,51.25,2.85,0.47,3.32,0.2,43.14,4.51,3507.11,0.1259528130671506,0.14142749244712993,0.4124999999999999,0.2500000000000001,0.41608535084119824,0.30184331797235014,0.275,10
Podkarpackie,2009,34.0,12062.0,6483.0,567.0,123.0,175840.0,884.0,2101732.0,9717.0,30.85,57.39,2.7,0.59,3.28,0.16,46.23,4.21,3706.76,0.10526315789473684,0.2573640483383686,0.3874999999999999,0.05000000000000005,0.5428805908904389,0.23271889400921655,0.263,11
Opolskie,2009,22.0,5487.0,3204.0,273.0,30.0,59561.0,425.0,1031097.0,4451.0,31.07,53.22,2.65,0.29,2.94,0.21,43.17,4.12,3776.91,0.10925589836660615,0.17862537764350456,0.1749999999999999,0.3,0.4173163725892492,0.2119815668202765,0.232,12
Wielkopolskie,2009,61.0,14997.0,9449.0,1013.0,104.0,206609.0,1401.0,3408281.0,15923.0,27.72,44.0,2.97,0.31,3.28,0.18,46.72,4.11,3364.54,0.04845735027223226,0.004531722054380702,0.3874999999999999,0.15,0.5629872794419368,0.20967741935483875,0.227,13
Zachodniopomorskie,2009,31.0,8206.0,6322.0,412.0,38.0,163076.0,765.0,1693198.0,7952.0,37.34,48.46,2.43,0.22,2.66,0.18,46.96,4.52,4109.7,0.22304900181488205,0.08874622356495473,0.0,0.15,0.572835453426344,0.30414746543778787,0.223,14
Kujawsko-Pomorskie,2009,39.0,10604.0,7920.0,505.0,78.0,218534.0,663.0,2069083.0,9038.0,38.28,51.25,2.44,0.38,2.82,0.19,43.68,3.2,4097.19,0.24010889292196005,0.14142749244712993,0.09999999999999984,0.20000000000000007,0.4382437423061141,0.0,0.187,15
Pomorskie,2009,36.0,10711.0,9389.0,589.0,26.0,171260.0,763.0,2230099.0,8875.0,42.1,48.03,2.64,0.12,2.76,0.16,39.8,3.42,3786.25,0.3094373865698729,0.08062688821752272,0.06249999999999979,0.05000000000000005,0.27903159622486656,0.05069124423963128,0.139,16
Łódzkie,2010,61.0,13529.0,12218.0,887.0,67.0,187639.0,1279.0,2542436.0,13533.0,48.06,53.21,3.49,0.26,3.75,0.24,53.23,5.03,2866.33,0.4176043557168784,0.17843655589123872,0.68125,0.45,0.8301189987689782,0.4216589861751152,0.497,1
Śląskie,2010,115.0,29177.0,21749.0,1294.0,97.0,268204.0,2437.0,4634935.0,25989.0,46.92,62.95,2.79,0.21,3.0,0.25,56.07,5.26,3581.87,0.3969147005444646,0.3623489425981874,0.21249999999999997,0.5000000000000001,0.9466557242511285,0.4746543778801843,0.482,2
Lubelskie,2010,42.0,13013.0,10743.0,793.0,51.0,155863.0,973.0,2178611.0,11290.0,49.31,59.73,3.64,0.23,3.87,0.19,51.82,4.47,2747.3,0.44029038112522684,0.30154833836858,0.7562500000000002,0.20000000000000007,0.7722609766105869,0.292626728110599,0.46,3
Podlaskie,2010,30.0,7006.0,5156.0,337.0,65.0,106268.0,628.0,1203448.0,5970.0,42.84,58.22,2.8,0.54,3.34,0.25,49.61,5.22,3571.06,0.32286751361161525,0.27303625377643503,0.42499999999999993,0.5000000000000001,0.6815757078375052,0.4654377880184331,0.445,4
